index,original_text,predicted_intent,actual_intent1,actual_confidence1,actual_intent2,actual_confidence2,actual_intent3,actual_confidence3,actual_intent_correct
4,I was on vacation in another country. Do I need to quarantine?,covid_thailand_quarantine,covid_thailand_quarantine,0.7469499588012696,Covid_Travel_Restrictions,0.5014449834823609,Bot_Control_Change_Subject,0.28088892698287965,covid_thailand_quarantine
6,About you,General_About_You,General_About_You,0.7766338348388673,General_Greetings,0.34311814308166505,General_Positive_Feedback,0.3426713109016418,General_About_You
9,Is this a trusted chat site?,General_Security_Assurance,General_Security_Assurance,0.9103167057037354,General_Human_or_Bot,0.2851509213447571,Bot_Control_Change_Subject,0.26958138942718507,General_Security_Assurance
16,"I'm feeling sick, but I'm not sure whether I have the covid-19.",covid-diagnosis,covid-diagnosis,0.9526088237762451,Covid_Symptoms,0.3146608591079712,Airlines_Information,0.2592329561710358,covid-diagnosis
17,Stop doing this,General_Ending,General_Ending,0.7388081073760986,Bot_Control_Ignore_Undo,0.27262814640998845,covid_thailand_when_quarantine,0.2675575613975525,General_Ending
19,I'm afraid I have covid-19,Covid_Symptoms,covid-diagnosis,0.9382400989532471,General_Ending,0.3918870806694031,Application_for_COVID-19,0.2601221859455109,covid-diagnosis
20,I don t know what you need,Bot_Control_Unsure,Bot_Control_Unsure,0.9186134338378906,General_Agent_Capabilities,0.29361282587051396,mask_type_question,0.2404779136180878,Bot_Control_Unsure
22,Talk about something else,Bot_Control_Change_Subject,Bot_Control_Change_Subject,0.9404869079589844,Bot_Control_Clarification,0.28036782741546634,General_Agent_Capabilities,0.2632857739925385,Bot_Control_Change_Subject
23,Is a headache a symptom of the coronavirus?,Covid_Symptoms,Covid_Symptoms,0.9690844535827636,covid-flu-vs-coronavirus,0.4142500162124634,covid_thailand_cost,0.30487914085388185,Covid_Symptoms
27,Are you even real?,General_Human_or_Bot,General_Human_or_Bot,0.8720614910125732,General_Negative_Feedback,0.28532403111457827,General_About_You,0.25636925101280217,General_Human_or_Bot
28,How do I get tested?,covid-screening,covid-screening,0.8504220008850099,Covid_Symptoms,0.36942796707153325,covid_thailand_cost,0.2583587884902954,covid-screening
31,how is covid status today ?,tx_count,tx_count,0.9460950851440431,Covid_Description,0.3463486790657043,Covid_Case_Count,0.2551522672176361,tx_count
32,Contact person,General_Connect_to_Agent,General_Connect_to_Agent,0.7816828727722169,travel_embassies,0.4316308975219727,Customer_Care_Appointments,0.27544321417808537,General_Connect_to_Agent
