index,original_text,predicted_intent,actual_intent1,actual_confidence1,actual_intent2,actual_confidence2,actual_intent3,actual_confidence3,actual_intent_correct
19,I'm afraid I have covid-19,Covid_Symptoms,covid-diagnosis,0.9382400989532471,General_Ending,0.3918870806694031,Application_for_COVID-19,0.2601221859455109,covid-diagnosis
43,I change my mind.,Bot_Control_Ignore_Undo,Bot_Control_Approve_Response,0.7188361167907715,Customer_Care_Appointments,0.4101972818374634,Bot_Control_Change_Subject,0.274467271566391,Bot_Control_Approve_Response
53,Can herbal medicines such as andrographis Paniculata cure Coronavirus?,covid_thailand_herbal_medicines,Treatment_info,0.9057167530059815,covid-flu-vs-coronavirus,0.450602650642395,covid_thailand_vaccine,0.3322520852088928,Treatment_info
63,Covid around me,tx_count,Bot_Control_Confirm_Presence,0.9020087242126464,tx_count,0.369428026676178,Covid_Description,0.27879220247268677,Bot_Control_Confirm_Presence
69,covid number in my state?,Covid_Case_Count,tx_count,0.9563064098358154,govt_emergency,0.30603440999984743,Covid_Travel_Restrictions,0.3024297714233399,tx_count
71,tx_test,tx_test,covid-screening,0.8344484329223634,tx_emergency,0.4329828977584839,covid_thailand_cost,0.41261224746704106,covid-screening
72,What kind of breathing problem is that?,covid-shortness-of-breath-definition,Treatment_shortnessOfBreath,0.693341064453125,Treatment_info,0.2619291365146637,Bot_Control_Approve_Response,0.25779782533645634,Treatment_shortnessOfBreath
86,Wait! Let's back up few steps and do that again,Bot_Control_Ignore_Undo,Bot_Control_Standby,0.84365873336792,Bot_Control_Ignore_Undo,0.3562316417694092,travel_backtoUS,0.3334615588188171,Bot_Control_Standby
101,How do you function?,General_About_You,General_Agent_Capabilities,0.8277918815612793,covid-screening,0.3415525555610657,General_Security_Assurance,0.31279404163360597,General_Agent_Capabilities
119,What kind of food is safe from covid ?,Food_safety,Covid_Description,0.7711709499359132,Food_safety,0.45524394512176514,mask_type_question,0.35135208368301396,Covid_Description
120,Where is the closest agent?,General_Connect_to_Agent,Test_Center_Contact_Info,0.8588530540466308,General_Connect_to_Agent,0.6765962600708009,tx_count,0.26240864992141727,Test_Center_Contact_Info
131,Who needs to declare their travel details?,covid_thailand_declare_travel,Covid_Travel_Restrictions,0.7183233261108399,covid_thailand_ddc,0.5854392051696777,travel_embassies,0.3332134008407593,Covid_Travel_Restrictions
148,I was unable to cancel my trip before I was scheduled to travel. Will you still honor the value of the ticket?,Airlines_Information,Covid_Travel_Restrictions,0.7584693431854248,Covid_Event_Shutdowns,0.5088299036026,Cancel,0.45503575801849366,Covid_Travel_Restrictions
181,Cancel,Bot_Control_Ignore_Undo,Cancel,0.9295450687408449,Bot_Control_Standby,0.28210747241973877,Covid_Travel_Restrictions,0.26152122020721436,Cancel
184,What is this 4?,General_Agent_Capabilities,Covid_Description,0.8679003238677978,General_Positive_Feedback,0.4118022680282593,Test_Center_Contact_Info,0.36327892541885376,Covid_Description
192,how is covid situation ?,cdc_summary,Covid_Description,0.7032681941986085,Covid_Case_Count,0.47490117549896244,tx_count,0.40413794517517093,Covid_Description
203,Can my child attend school?,covid_thailand_child_attend_school,Covid_School_Shutdown,0.9945930957794189,Customer_Care_Appointments,0.25985137820243837,covid_thailand_parent_quarantine,0.24566118121147157,Covid_School_Shutdown
217,do I have covid?,Covid_Symptoms,covid-diagnosis,0.6930717468261719,Covid_Symptoms,0.39902101755142216,Bot_Control_Approve_Response,0.35520348548889163,covid-diagnosis
225,Airlines Information (COVID-19) Pandemic,Airlines_Information,globalcovid_pandemic,0.8109910011291503,Airlines_Information,0.29501715302467346,Application_for_COVID-19,0.27006957530975345,globalcovid_pandemic
238,can you direct me to the nearest test center,covid-screening,Test_Center_Contact_Info,0.9237653255462648,Bot_Control_Start_Over,0.26522666215896606,covid_thailand_airport,0.26064299345016484,Test_Center_Contact_Info
246,that's nice of you,Thanks,General_Ending,0.8976478576660156,General_Positive_Feedback,0.8559064388275146,Bot_Control_Approve_Response,0.38474425077438357,General_Ending
249,No I'm fine thanks,Bot_Control_Reject_Response,General_Ending,0.8214866161346437,Thanks,0.6082003116607666,Bot_Control_Unsure,0.3001017212867737,General_Ending
